Timestamp,sysCal,gyroCal,accelCal,magCal,rawAccelX,rawAccelY,rawAccelZ,accelX,accelY,accelZ,rawGyroX,rawGyroY,rawGyroZ,gyroX,gyroY,gyroZ,rawMagX,rawMagY,rawMagZ,magX,magY,magZ,linAccelX,linAccelY,linAccelZ
1969-12-31T19:36:13,0,0,0,0,-0.10289137810468674,0.07417750358581543,9.851250648498535,1.0917099714279175,0.045909713953733444,9.861679077148438,-0.017500000074505806,-0.6037499904632568,-0.49000000953674316,-0.11978856474161148,-0.5556051731109619,-0.5556051731109619,0.0,0.0,0.0,0.0,0.0,0.0,1.2687642574310303,-0.006688923109322786,0.05346035212278366
1969-12-31T19:36:13.011000,0,0,0,0,-0.1746760606765747,0.02153540402650833,9.956535339355469,0.8624973297119141,0.04149802774190903,9.8788480758667,-0.14000000059604645,-0.6037499904632568,-0.5249999761581421,-0.12171117216348648,-0.5567613244056702,-0.5567613244056702,0.0,0.0,0.0,0.0,0.0,0.0,1.0344586372375488,-0.011023069731891155,0.07053884118795395
1969-12-31T19:36:13.022000,0,0,0,0,6.283552169799805,0.0526420958340168,9.987641334533691,1.8436944484710693,0.043515074998140335,9.898539543151855,0.008750000037252903,-0.6650000214576721,-0.4987499713897705,-0.10930106788873672,-0.5600721836090088,-0.5600721836090088,0.0,0.0,0.0,0.0,0.0,0.0,2.0058679580688477,-0.008950391784310341,0.09006312489509583
1969-12-31T19:36:13.033000,0,0,0,0,4.914857387542725,0.05742774158716202,9.903892517089844,2.399567127227783,0.046033233404159546,9.899508476257324,-0.3412500023841858,-0.6737499833106995,-0.21875,-0.13136518001556396,-0.5450663566589355,-0.5450663566589355,0.0,0.0,0.0,0.0,0.0,0.0,2.549431562423706,-0.006371588911861181,0.09083598852157593
1969-12-31T19:36:13.044000,0,0,0,0,-1.7994027137756348,0.04307080805301666,9.719645500183105,1.6395642757415771,0.04549704119563103,9.86695384979248,-0.3062500059604645,-0.9362499713897705,-0.2800000011920929,-0.1480010747909546,-0.5533797144889832,-0.5533797144889832,0.0,0.0,0.0,0.0,0.0,0.0,1.7806615829467773,-0.006830913480371237,0.05815088376402855
1969-12-31T19:36:13.055000,0,0,0,0,-5.898308277130127,0.10767702758312225,9.858429908752441,0.27522850036621094,0.05675145983695984,9.865410804748535,-0.24500000476837158,-0.9099999666213989,-0.3149999976158142,-0.15722808241844177,-0.5611738562583923,-0.5611738562583923,0.0,0.0,0.0,0.0,0.0,0.0,0.414253294467926,0.004452686291188002,0.05657803267240524
1969-12-31T19:36:13.066000,0,0,0,0,-5.072783946990967,0.04785645380616188,9.970891952514648,-0.6927481889724731,0.05514148622751236,9.884502410888672,-0.17499999701976776,-0.7699999809265137,-0.4724999964237213,-0.15891863405704498,-0.5690940022468567,-0.5690940022468567,0.0,0.0,0.0,0.0,0.0,0.0,-0.5509908199310303,0.002882210537791252,0.07570908963680267
1969-12-31T19:36:13.077000,0,0,0,0,-0.2799602746963501,0.04307080805301666,9.889535903930664,-0.6180346012115479,0.052956722676754,9.88541316986084,-0.07000000029802322,-0.6737499833106995,-0.45499998331069946,-0.15046025812625885,-0.5684718489646912,-0.5684718489646912,0.0,0.0,0.0,0.0,0.0,0.0,-0.4739230275154114,0.0007404541247524321,0.07665244489908218
1969-12-31T19:36:13.088000,0,0,0,0,-0.1986043006181717,0.07896315306425095,9.899106979370117,-0.5421187877655029,0.057663820683956146,9.88789176940918,-0.10499999672174454,-0.7087500095367432,-0.4987499713897705,-0.1461358517408371,-0.5731227397918701,-0.5731227397918701,0.0,0.0,0.0,0.0,0.0,0.0,-0.39604148268699646,0.005463527049869299,0.07916124910116196
1969-12-31T19:36:13.099000,0,0,0,0,-0.20817558467388153,0.0813559740781784,9.903892517089844,-0.481675922870636,0.06195203959941864,9.890788078308105,-0.09624999761581421,-0.6299999952316284,-0.49000000953674316,-0.14139047265052795,-0.5713927149772644,-0.5713927149772644,0.0,0.0,0.0,0.0,0.0,0.0,-0.33393824100494385,0.00974240805953741,0.08208146691322327
1969-12-31T19:36:13.110000,0,0,0,0,-1.1389836072921753,0.06460621953010559,9.891928672790527,-0.60064697265625,0.062432438135147095,9.89099407196045,-0.12250000238418579,-0.5774999856948853,-0.5687500238418579,-0.13959351181983948,-0.5716211199760437,-0.5716211199760437,0.0,0.0,0.0,0.0,0.0,0.0,-0.4506664276123047,0.010209743864834309,0.08232229202985764
1969-12-31T19:36:13.121000,0,0,0,0,-7.252645492553711,0.09571290761232376,9.853643417358398,-1.804641842842102,0.06845612078905106,9.884233474731445,0.026249999180436134,-0.29750001430511475,-0.5600000023841858,-0.12381766736507416,-0.5527856349945068,-0.5527856349945068,0.0,0.0,0.0,0.0,0.0,0.0,-1.646555781364441,0.0161784365773201,0.07568967342376709
1969-12-31T19:36:13.132000,0,0,0,0,-1.5720844268798828,0.05503492057323456,9.7938232421875,-1.7625495195388794,0.06602691859006882,9.86786937713623,0.04374999925494194,-0.24500000476837158,-0.6299999952316284,-0.10787781327962875,-0.5375868678092957,-0.5375868678092957,0.0,0.0,0.0,0.0,0.0,0.0,-1.5965590476989746,0.013692334294319153,0.059456177055835724
1969-12-31T19:36:13.143000,0,0,0,0,2.6967110633850098,0.035892341285943985,9.860822677612305,-0.9554346799850464,0.060572635382413864,9.866594314575195,0.07874999940395355,-0.5774999856948853,-0.7087500095367432,-0.09012486040592194,-0.5515005588531494,-0.5515005588531494,0.0,0.0,0.0,0.0,0.0,0.0,-0.7854894399642944,0.008192594163119793,0.05824778974056244
1969-12-31T19:36:13.154000,0,0,0,0,4.505684852600098,0.09092725813388824,9.9350004196167,0.033014118671417236,0.06606674194335938,9.878975868225098,-0.026249999180436134,-0.7175000309944153,-0.5862500071525574,-0.08404877036809921,-0.5647335052490234,-0.5647335052490234,0.0,0.0,0.0,0.0,0.0,0.0,0.20198766887187958,0.013608943670988083,0.0706147775053978
1969-12-31T19:36:13.165000,0,0,0,0,0.5312066078186035,-0.035892341285943985,9.997213363647461,0.12318569421768188,0.04761240631341934,9.900376319885254,-0.14875000715255737,-0.6650000214576721,-0.49000000953674316,-0.09020347148180008,-0.5664165616035461,-0.5664165616035461,0.0,0.0,0.0,0.0,0.0,0.0,0.29074275493621826,-0.00482543371617794,0.0919894278049469
