Timestamp,GPSYear,GPSMonth,GPSday,GPSHour,GPSMinute,GPSSecond,GPSHundredth,voltage,GPSFix,numSats,HDOP,Latitude,Longitude,GPSSpeed,GPSCourse,sysCal,gyroCal,accelCal,magCal,rawAccelX,rawAccelY,rawAccelZ,accelX,accelY,accelZ,rawGyroX,rawGyroY,rawGyroZ,gyroX,gyroY,gyroZ,rawMagX,rawMagY,rawMagZ,magX,magY,magZ,roll,pitch,yaw,linAccelX,linAccelY,linAccelZ,quatW,quatX,quatY,quatZ,imuTemp,state
1969-12-31T19:00:09.411000,411,2080,1,5,23,59,48,79,3.891249895095825,False,0,0,0,0,0,0,0,0,0,0,0.1698903888463974,-1.8281164169311523,9.767501831054688,0.18229633569717407,-1.7822407484054565,9.767105102539062,0.08749999850988388,0.17499999701976776,-0.7699999809265137,-2.5515427589416504,0.8015868663787842,-0.9906226396560669,3.946214437484741,0.0,0.0,3.73059344291687,-416.39111328125,164.06796264648438,-4.933173656463623,-0.3085494339466095,179.75704956054688,0.12946751713752747,-0.9386503100395203,-0.006370594259351492,0.9990630149841309,-0.04304240271449089,-0.0025988654233515263,-0.002234038431197405,0.0,1
1969-12-31T19:00:09.486000,486,2080,1,5,23,59,49,79,3.891249895095825,False,0,0,0,0,0,0,0,0,0,0,0.17228323221206665,-1.8209381103515625,9.741181373596191,0.18048399686813354,-1.7892448902130127,9.762413024902344,0.16625000536441803,0.2800000011920929,-0.8225000500679016,-2.293013095855713,0.7519710063934326,-0.9746299982070923,3.946214437484741,0.0,0.0,3.7511043548583984,-400.2726135253906,102.91455078125,-4.992002964019775,-0.3147348463535309,179.7556610107422,0.126596137881279,-0.9356203079223633,-0.010185572318732738,0.9990406036376953,-0.04355544224381447,-0.0026511158794164658,-0.0022498585749417543,0.0,1
1969-12-31T19:00:09.545000,545,2080,1,5,23,59,49,79,3.891249895095825,False,0,0,0,0,0,0,0,0,0,0,0.40677985548973083,-4.086941242218018,9.425329208374023,0.22144296765327454,-2.2051219940185547,9.701401710510254,1.3562499284744263,2.555000066757202,-1.277500033378601,-1.9458775520324707,0.9234838485717773,-1.003440499305725,3.946214437484741,0.0,0.0,3.7696642875671387,-404.55108642578125,115.89945220947266,-5.169735431671143,-0.3226068615913391,179.75172424316406,0.16620731353759766,-1.321187138557434,-0.06849510967731476,0.9989716410636902,-0.04510515555739403,-0.0027147012297064066,-0.002291344804689288,0.0,1
1969-12-31T19:00:09.609000,609,2080,1,5,23,59,49,79,3.9387500286102295,False,0,0,0,0,0,0,0,0,0,0,0.13878372311592102,-1.794616937637329,9.803394317626953,0.20648185908794403,-2.130821704864502,9.71986198425293,3.3249998092651367,5.591249942779541,-0.04374999925494194,-1.4444860219955444,1.3675044775009155,-0.9121500849723816,3.946214437484741,0.0,0.0,3.7864584922790527,-389.5588684082031,59.32804489135742,-5.208467483520508,-0.29990413784980774,179.75184631347656,0.15513324737548828,-1.2402806282043457,-0.049455706030130386,0.9989568591117859,-0.045442402362823486,-0.0025160631630569696,-0.0022821645252406597,0.0,1
1969-12-31T19:00:09.676000,676,2080,1,5,23,59,49,79,3.9387500286102295,False,0,0,0,0,0,0,0,0,0,0,0.7393822073936462,-1.88075852394104,9.80817985534668,0.30293548107147217,-2.0855607986450195,9.735847473144531,3.2199997901916504,6.422500133514404,3.5,-1.0007773637771606,1.848360300064087,-0.49244484305381775,3.946214437484741,0.0,0.0,3.8016552925109863,-394.8564758300781,76.4591064453125,-5.252114772796631,-0.30603885650634766,179.7692413330078,0.2505365014076233,-1.1875784397125244,-0.032783716917037964,0.9989396929740906,-0.04582260921597481,-0.002575625665485859,-0.002133994596078992,0.0,1
1969-12-31T19:00:09.741000,741,2080,1,5,23,59,49,79,3.9387500286102295,False,0,0,0,0,0,0,0,0,0,0,-0.7441678643226624,-2.445464611053467,9.604789733886719,0.11341242492198944,-2.150702476501465,9.712126731872559,16.799999237060547,-11.46250057220459,11.514999389648438,0.6925195455551147,0.5821661949157715,0.6497619152069092,3.946214437484741,0.0,0.0,3.815406560897827,-380.78643798828125,23.639446258544922,-5.261666297912598,-0.31227338314056396,179.83470153808594,0.05994601175189018,-1.2510920763015747,-0.05634884163737297,0.9989367723464966,-0.04590447247028351,-0.0026560232508927584,-0.001566000864841044,0.0,1
1969-12-31T19:00:09.799000,799,2080,1,5,23,59,49,79,3.9387500286102295,False,0,0,0,0,0,0,0,0,0,0,1.8113667964935303,-1.8927226066589355,9.052047729492188,0.4207378625869751,-2.104008674621582,9.59265422821045,-3.403749942779541,43.653751373291016,1.0325000286102295,0.30286234617233276,4.679346084594727,0.6861698627471924,3.946214437484741,0.0,0.0,3.8278496265411377,-386.91851806640625,44.165382385253906,-5.346299171447754,-0.20197564363479614,179.8218536376953,0.3861561715602875,-1.1899619102478027,-0.17456567287445068,0.9989045858383179,-0.04664114862680435,-0.00168815185315907,-0.0016351189697161317,0.0,1
1969-12-31T19:00:09.866000,866,2080,1,5,23,59,49,79,3.9462499618530273,False,0,0,0,0,0,0,0,0,0,0,-0.17946171760559082,-1.3519448041915894,9.743573188781738,0.312103271484375,-1.967887043952942,9.619970321655273,7.253749847412109,-6.369999885559082,-5.809999465942383,0.9640647768974304,3.6282782554626465,0.06822246313095093,3.946214437484741,0.0,0.0,3.839109182357788,-373.60357666015625,-5.582340240478516,-5.33903169631958,-0.22434447705745697,179.79786682128906,0.27369165420532227,-1.055080533027649,-0.14735117554664612,0.9989067912101746,-0.04657847434282303,-0.001873500645160675,-0.001853162539191544,0.0,1
1969-12-31T19:00:09.924000,924,2080,1,5,23,59,49,79,3.9462499618530273,False,0,0,0,0,0,0,0,0,0,0,0.06699904054403305,-1.4261223077774048,9.860822677612305,0.26774004101753235,-1.8698289394378662,9.66356372833252,-2.4674999713897705,1.3650000095367432,0.9362499713897705,0.6376375555992126,3.4129841327667236,0.15079349279403687,3.946214437484741,0.0,0.0,3.849297523498535,-380.4189147949219,17.723318099975586,-5.383876800537109,-0.21914508938789368,179.80413818359375,0.23021864891052246,-0.9493775963783264,-0.103044293820858,0.9988887310028076,-0.0469692125916481,-0.0018300190567970276,-0.0017971680499613285,0.0,1
1969-12-31T19:00:09.988000,988,2080,1,5,23,59,49,79,3.9462499618530273,False,0,0,0,0,0,0,0,0,0,0,0.11724831163883209,-1.3974084854125977,9.908679008483887,0.24050141870975494,-1.7843220233917236,9.707928657531738,-2.9225001335144043,7.279999732971191,1.6624999046325684,0.29897981882095337,3.7808334827423096,0.294594407081604,3.946214437484741,0.0,0.0,3.8585166931152344,-367.7222595214844,-29.50910758972168,-5.428549289703369,-0.18707208335399628,179.8111572265625,0.20847146213054657,-0.8562541007995605,-0.05797808989882469,0.9988709688186646,-0.04735807701945305,-0.001552641042508185,-0.001723483088426292,0.0,1
